Approved Symbol	Entrez Gene ID
CCL8	6355
SCYAR1~withdrawn	
CXCL10	3627
CXCL11	6373
CXCL13	10563
CXCL14	9547
CXCL1P	50612
CXCL5	6374
CXCL6	6372
SCYB9B~withdrawn	
XCL1	6375
XCL2	6846
CX3CL1	6376
AIMP1	9255
SCZD1	
SCZD2	
SCZD3	
SCZD4	
SCZD5	
SCZD6	
SCZD7	
SCZD8	
SD~withdrawn	
SDC1	6382
SDC2	6383
SDC3	9672
SDC4	6385
SDCBP	6386
NEMF	9147
CWC27	10283
UTP14A	10813
STARD10	10809
SDCCAG3	10807
NOXA1	10811
TSHZ1	10194
SDCCAG43~withdrawn	
SDCCAG8	10806
CXCL12	6387
SDF1A~withdrawn	
SDF1B~withdrawn	
SDF2	6388
SDF2L1	23753
SDGF~withdrawn	
SDH1~withdrawn	
SDH2~withdrawn	
SDHA	6389
SDHB	6390
SDHC	6391
SDHD	6392
SDHDP1	29773
SDHDP2	647081
SDHDP3	29771
SDHDP4	29770
SDHDP5	29769
SDHDP6	29768
SDPR	8436
SDS	10993
SDU	
SDYS~withdrawn	
SE~withdrawn	
SEA	6395
EXOC5	10640
SEC13	6396
SEC14L1	6397
SEC14L2	23541
SEC22B	9554
SEC23A	10484
SEC23B	10483
SEC24A	10802
SEC24B	10427
SEC24C	9632
SEC24D	9871
SECTM1	6398
SEDC~withdrawn	
SEDL~withdrawn	
TRAPPC2P1	10597
TRAPPC2P2	27196
TRAPPC2P3	27195
TRAPPC2P4	27194
TRAPPC2P5	27193
TRAPPC2P6	
TRAPPC2P7	392597
SEL1L	6400
SELE	6401
SELENBP1	8991
SELL	6402
SELP	6403
SELPLG	
SEMA3A	10371
SEMA3B	7869
SEMA3C	10512
SEMA3D	223117
SEMA3E	9723
SEMA3F	6405
SEMA4A	64218
SEMA4B	10509
SEMA4C	54910
SEMA4D	10507
SEMA4F	10505
SEMA4G	57715
SEMA5A	9037
SEMA5B	54437
SEMA6A	57556
SEMA6B	10501
SEMA6C	10500
SEMA7A	8482
SEMG1	6406
SEMG2	6407
SEN1~withdrawn	
SEN2	
SEN3	
SEN6	6411
SEN6A	6412
SEN6B	6413
SEPT3	55964
SEPP1	6414
SEPW1	6415
SEPW1P	23679
SERF1~withdrawn	
SERF1A	8293
SERF1B	728492
SERF2	10169
SERK1~withdrawn	
SERP1	27230
SET	6418
SETDB1	9869
SETMAR	6419
SEZ6L	23544
SF~withdrawn	
SF3A1	10291
SF3A2	8175
SF3A3	10946
SF3B1	23451
SF3B2	10992
SF3B3	23450
SF3B4	10262
SFD~withdrawn	
SFN	2810
SFPQ	6421
SFPQP1	23758
SFRP1	6422
SFRP2	6423
SFRP4	6424
SFRP5	6425
SRSF1	6426
TRA2B	6434
SRSF11	9295
SRSF2	6427
SCAF11	9169
SRSF3	6428
SRSF4	6429
SRSF5	6430
SRSF6	6431
SRSF7	6432
SFSWAP	6433
SRSF9	8683
SRSF9P1	54021
SFT~withdrawn	
SFTP1~withdrawn	
SFTP2~withdrawn	
SFTP3~withdrawn	
SFTP4~withdrawn	
SFTPA1	653509
SFTPA2	729238
SFTPA3P	100288405
SFTPB	6439
SFTPC	6440
SFTPD	6441
SFTPP1~withdrawn	
SGCA	6442
SGCB	6443
SGCD	6444
SGCE	8910
SGCG	6445
SGK1	6446
SGK2~withdrawn	
SGK3	23678
SGLT1~withdrawn	
SGLT2~withdrawn	
SGM1	
SCG5	6447
SGPL1	8879
SGSH	6448
SGTA	6449
SH2D1A	4068
SH2D2A	9047
SH3BGR	6450
SH3BGRL	6451
SH3BP1	23616
SH3BP2	6452
SH3BP4	23677
SH3BP5	9467
SH3D1A~withdrawn	
SH3D1B~withdrawn	
SH3GL1	6455
SH3GL2	6456
SH3GL3	6457
SH3GLB1	51100
SH3GLB2	56904
SH3GL1P1	6458
SH3GL1P2	6459
SH3GL1P3	727736
SHB	6461
SHBG	6462
SHC1	6464
SHC1P1	6465
SHC1P2	6466
SHFD1~withdrawn	
SHFD2~withdrawn	
SHFM1	7979
SHFM2	
FBXW4	6468
SHH	6469
SHMT~withdrawn	
SHMT1	6470
SHMT1P1	6471
SHMT2	6472
SHOX	6473
SHOX2	6474
SHS~withdrawn	
SI	6476
SIAH1	6477
SIAH2	6478
SIASD~withdrawn	
ST6GAL1	6480
ST6GAL2	84620
ST3GAL1	6482
ST3GAL2	6483
ST3GAL4	6484
SIAT5~withdrawn	
ST3GAL3	6487
ST6GALNAC2	10610
SIAT8~withdrawn	
ST8SIA1	6489
ST8SIA2	8128
ST8SIA4	7903
ST3GAL5	8869
SIATL1~withdrawn	
SIGLEC5	8778
SIGLEC6	946
SIGLEC7	27036
SIGLEC8	27181
SIGLEC9	27180
STIL	6491
PMEL	6490
SIM~withdrawn	
SIM1	6492
SIM2	6493
GEMIN2	8487
SIPA1	6494
SIRT2	22933
SIX1	6495
SIX2	10736
SIX3	6496
SIX4	51804
SIX5	147912
SIX6	4990
SJS1~withdrawn	
PRMT5	10419
VPS4B	9525
SKI	6497
SKIL	6498
SKIV2L	6499
SKP1	6500
SKP1P2	6501
SKP2	6502
SLA	6503
SLAMF1	6504
SLBP	7884
SLC10A1	6554
SLC10A2	6555
SLC11A1	6556
SLC11A2	4891
SLC40A1	30061
SLC12A1	6557
SLC12A2	6558
SLC12A3	
SLC12A4	6560
SLC12A6	9990
SLC12A7	10723
SLC13A1	6561
SLC13A2	9058
SLC14A1	6563
SLC14A2	8170
SLC15A1	6564
SLC15A2	6565
SLC16A1	6566
SLC16A2	6567
SLC16A3	9123
SLC16A4	9122
SLC16A5	9121
SLC16A6	9120
SLC16A7	9194
SLC17A1	6568
SLC17A2	10246
SLC17A3	10786
SLC17A4	10050
SLC17A5	26503
SLC18A1	6570
SLC18A2	6571
SLC18A3	6572
SLC19A1	6573
SLC19A2	10560
SLC1A1	6505
SLC1A2	6506
SLC1A3	6507
SLC1A4	6509
SLC1A5	6510
SLC1A6	6511
SLC1A7	6512
SLC20A1	6574
SLC20A2	6575
SLC20A3~withdrawn	
SLC20A4~withdrawn	
SLC21A1~withdrawn	
SLC21A10~withdrawn	
SLCO3A1	28232
SLCO4A1	28231
SLC21A13~withdrawn	
SLCO2A1	6578
SLCO1A2	6579
SLC21A4~withdrawn	
SLC21A5~withdrawn	
SLCO1B1	10599
SLC21A7~withdrawn	
SLCO1B3	28234
SLCO2B1	11309
SLC22A1	6580
SLC22A18	5002
SLC22A18AS	5003
SLC22A2	6582
SLC22A3	6581
SLC22A4	6583
SLC22A5	6584
SLC22A6	9356
SLC22A7	10864
SLC22A8	9376
SLC23A2	9962
SLC23A1	9963
SLC24A1	9187
SLC24A2	25769
SLC24A3	57419
SLC24A4	123041
SLC25A1	6576
SLC25A10	1468
SLC25A11	8402
SLC25A12	8604
SLC25A13	10165
SLC25A14	9016
SLC25A15	10166
SLC25A16	8034
SLC25A17	10478
SLC25A18	83733
SLC25A3	5250
SLC25A4	291
SLC25A5	292
SLC25A6	293
SLC26A1	10861
SLC26A2	1836
SLC27A1	376497
SLC27A2	11001
SLC27A3	11000
SLC27A4	10999
SLC27A5	10998
SLC27A6	28965
SLC28A1	9154
SLC28A2	9153
SLC29A1	2030
SLC29A2	3177
SLC2A1	6513
SLC2A2	6514
SLC2A3	6515
SLC2A3P1	100128062
SLC2A4	6517
SLC2A5	6518
SLC2A6	11182
SLC30A1	7779
SLC30A2	7780
SLC30A3	7781
SLC30A4	7782
SLC31A1	1317
SLC31A2	1318
SLC32A1	140679
SLC34A1	6569
SLC34A2	10568
SLC35A1	10559
SLC35A2	7355
SLC35A3	23443
SLC37A1	54020
SLC3A1	6519
SLC3A2	6520
SLC4A1	6521
SLC4A2	6522
SLC4A3	6508
SLC4A4	8671
SLC4A5~withdrawn	
SLC4A6~withdrawn	
SLC4A7	9497
SLC4A8	9498
SLC4A9	83697
SLC5A1	6523
SLC5A2	6524
SLC5A3	6526
SLC5A4	6527
SLC5A5	6528
SLC5A6	8884
SLC6A1	6529
SLC6A10P	386757
SLC6A11	6538
SLC6A12	6539
SLC6A13	6540
SLC6A14	11254
SLC6A2	6530
SLC6A3	6531
SLC6A4	6532
SLC6A5	9152
SLC6A6	6533
SLC6A6P1	54019
SLC6A7	6534
SLC6A8	6535
SLC6A9	6536
SLC7A1	6541
SLC7A10	56301
SLC7A11	23657
SLC7A2	6542
SLC7A3	84889
SLC7A4	6545
SLC7A5	8140
SLC7A6	9057
SLC7A7	9056
SLC7A8	23428
SLC7A9	11136
SLC8A1	6546
SLC8A2	6543
SLC8A3	6547
SLC9A1	6548
SLC9A2	6549
SLC9A3	6550
SLC9A3P1	6551
SLC9A3R1	9368
SLC9A3R2	9351
SLC9A4	389015
SLC9A5	6553
SLC9A6	10479
SLEB1	
SLEB2	
SLIL1~withdrawn	
SLIL2~withdrawn	
SLIL3~withdrawn	
SLIT1	6585
SLIT2	9353
SLIT3	6586
SLK	9748
SLN	6588
SLO~withdrawn	
SLOS~withdrawn	
SLPI	6590
SLS~withdrawn	
SNAI2	6591
SMA#~withdrawn	
SMA@~withdrawn	
SMARCA1	6594
SMARCA2	6595
HLTF	6596
SMARCA4	6597
SMARCA5	8467
SMARCAL1	50485
SMARCB1	6598
SMARCC1	6599
SMARCC2	6601
SMARCD1	6602
SMARCD2	6603
SMARCD3	6604
SMARCE1	6605
ARID1A	8289
SMC1A	8243
SMC1B	27127
SMCR~withdrawn	
KDM5C	8242
KDM5D	8284
SML1~withdrawn	
SMN1	6606
SMN2	6607
SMO	6608
SMPD1	6609
SMPD2	6610
SMPX	23676
SMS	6611
SUMO3	6612
SUMO2	6613
SMTN	6525
SIGLEC1	6614
SNAI1	6615
SNAI1P1	10415
SNAP~withdrawn	
SNAP23	8773
SNAP25	6616
SNAP29	9342
SNAPC1	6617
SNAPC2	6618
SNAPC3	6619
SNAPC4	6621
SNCA	
SNCAIP	9627
SNCB	6620
SNCG	6623
SIK1	150094
SNF2L1~withdrawn	
SNF2L2~withdrawn	
SNF2L3~withdrawn	
SNF2L4~withdrawn	
SNF5L1~withdrawn	
FSCN1	6624
SNN	8303
SNRNP70	6625
SNRPA	6626
SNRPA1	6627
SNRPB	6628
SNRPB1~withdrawn	
SNRPB2	6629
SNRPBL1~withdrawn	
SNRPC	6631
SNRPD1	6632
SNRPD2	6633
SNRPD3	6634
SNRPE	6635
SNRPF	6636
SNRPG	6637
SNRPN	6638
SNRPNL1~withdrawn	
SNRPNP1~withdrawn	
SNTA1	6640
SNTB1	6641
SNTB2	6645
SNTL~withdrawn	
SNURF	8926
SNX1	6642
SNX2	6643
SNX3	8724
SNX4	8723
SOAT~withdrawn	
SOAT1	6646
SOAT2	8435
SOD1	6647
SOD2	6648
SOD3	6649
CAPN15	6650
SON	6651
SORD	6652
SORL1	6653
SORT1	6272
SOS1	6654
SOS2	6655
SOX1	6656
SOX10	6663
SOX11	6664
SOX13	9580
SOX14	8403
SOX18	54345
SOX2	6657
SOX15	6665
SOX21	11166
SOX12	6666
SOX3	6658
SOX4	6659
SOX5	6660
SOX5P	6661
SOX8	30812
SOX9	6662
SP1	
SP100	6672
SP2	6668
SP3	6670
SP4	6671
SPA17	53340
SPACR~withdrawn	
SPAG1	6674
SPAG2~withdrawn	
SPAG4	6676
SPAG6	9576
SPAG7	9552
SPAM1	
SPANXA1	30014
SPARC	6678
SPARCL1	8404
SPAT~withdrawn	
SPCH1~withdrawn	
SPD~withdrawn	
SPG1~withdrawn	
SPG10~withdrawn	
SPG11	80208
SPG12~withdrawn	
SPG13~withdrawn	
SPG15~withdrawn	
SPG2~withdrawn	
ATL1	51062
SPG3B	
SPAST	6683
SPG5A~withdrawn	
SPG5B	
SPG6~withdrawn	
SPG7	6687
SPG8~withdrawn	
SPG9	
SPHK1	8877
SPI1	6688
SPIB	6689
SPIN1	10927
SPINK1	6690
SPINK2	6691
SPINT1	6692
SPINT2	10653
SPINT3	10816
SPN	
SPO11	23626
SPOCK1	6695
SPON1	10418
SPON2	10417
SPOP	8405
SPP1	6696
SPP2	6694
SPR	6697
SPRR1~withdrawn	
SPRR1A	6698
SPRR1B	6699
SPRR2A	6700
SPRR2B	6701
SPRR2C	6702
SPRR2D	6703
SPRR2E	6704
SPRR2F	
SPRR2G	
SPRR3	6707
SPRY1	10252
SPRY2	10253
SPRY3	10251
SPTA1	6708
SPTAN1	6709
SPTB	6710
SPTBN1	
SPTBN2	6712
SPTLC1	10558
SPTLC2	9517
SQLE	6713
SQSTM1	8878
SRA1	10011
SRBC~withdrawn	
SRC	6714
SRD5A1	6715
SRD5A2	6716
SRD5A1P1	6719
SRD5B1~withdrawn	
AKR1D1P1	80701
SREBF1	6720
SREBF2	6721
SRF	6722
SRI	6717
SRIP1	6644
SRK~withdrawn	
SRL	6345
SRM	6723
SRML2~withdrawn	
SRMS	6725
SRP14	6727
SRP19	6728
SRP54	6729
SRP68	6730
SRP72	6731
SRP9	6726
SRPK1	6732
SRPK2	6733
SRPR	6734
SRPSMCR~withdrawn	
SRPX	8406
SRS~withdrawn	
SRY	6736
TRIM21	6737
TROVE2	6738
SSAV1~withdrawn	
SSAV1L~withdrawn	
SSB	6741
SSBP1	6742
SSFA1~withdrawn	
SSFA2	6744
ABI1	10006
SSNA1	8636
SSPN	8082
SSR1	6745
SSR2	6746
SSR3	6747
SSR4	6748
SSRP1	6749
SSSCA1	10534
SST	6750
SSTR1	
SSTR2	
SSTR3	
SSTR4	6754
SSTR5	
SSX1	6756
SSX2	6757
SSX3	10214
SSX4	6759
SSX5	6758
SS18	6760
ST11	8466
ST12~withdrawn	
ST13	6767
ST14	6768
RECK	8434
IL24	11009
ST2	6761
ST3	6762
ST4	
ST5	6764
ST7	7982
ST8	
STAC	6769
STAG1	10274
STAG2	10735
STAG3	10734
STAM	8027
STAM2	10254
STAR	6770
STARP1	6771
STAT~withdrawn	
STAT1	6772
STAT2	6773
STAT3	6774
STAT4	6775
STAT5A	6776
STAT5B	6777
STAT6	6778
STATH	6779
STAU1	6780
STAU2	27067
STC~withdrawn	
STC1	6781
STC2	8614
HSPA13	6782
STD~withdrawn	
SULT1E1	6783
STEAP1	26872
STFA~withdrawn	
STFB~withdrawn	
STGD1~withdrawn	
STGD2~withdrawn	
STGD3~withdrawn	
STGD4~withdrawn	
STHE~withdrawn	
STIM1	6786
STIP1	10963
STK10	6793
STK11	6794
AURKB	9212
AURKC	6795
STK14A~withdrawn	
AURKA	6790
STK16	8576
STK17A	9263
STK17B	9262
PLK4	
STK19	8859
NEK4	6787
TSSK1A	23752
TSSK2	23617
SRPK3	26576
STK24	8428
STK25	10494
BRSK2	9024
STK3	6788
STK31	56164
STK4	6789
STK6~withdrawn	
STK6P~withdrawn	
CDKL5	6792
STM~withdrawn	
STMY1~withdrawn	
STMY2~withdrawn	
STMY3~withdrawn	
STN~withdrawn	
STNL~withdrawn	
STO~withdrawn	
STOT~withdrawn	
STP1~withdrawn	
STP2~withdrawn	
STRA13	201254
STRL22~withdrawn	
STRN	6801
STS	412
STSP1	6803
STUB1	10273
STX10	8677
STX11	8676
STX12	23673
STX16	8675
STX17	55014
STX1A	6804
STX1B1~withdrawn	
STX2A~withdrawn	
STX2B~withdrawn	
STX2C~withdrawn	
STX3	6809
STX4	6810
STX5	6811
STX6	10228
STX7	8417
STX8	9482
STXBP1	6812
STXBP2	6813
STXBP3	6814
STYX	6815
SUCLA2	8803
SUCLG1	8802
SUCLG2	8801
RIOK3	8780
SULT~withdrawn	
SULT1A1	6817
SULT1A2	6799
SULT1A3	6818
SULT1C2	6819
SULT1C4	27233
SULT2A1	6822
SULT2B1	6820
SUOX	6821
SUP45L1~withdrawn	
SUP45L2~withdrawn	
SUP45L3~withdrawn	
SUP45L4~withdrawn	
SUPT16H	11198
SUPT3H	8464
SUPT4H1	6827
SUPT5H	6829
SUPT6H	6830
SUPV3L1	6832
SUR~withdrawn	
MED21	9412
SURF1	6834
SURF2	6835
SURF4	6836
MED22	6837
SURF6	6838
SUV39H1	6839
SVIL	6840
SVP65~withdrawn	
SYB1~withdrawn	
SYB2~withdrawn	
VAMP7	6845
SYCP1	6847
SYCP1L2~withdrawn	
SYCP1L3~withdrawn	
SYCP2	10388
SYK	6850
SYM1~withdrawn	
SYM2	
SYN1	6853
SYN2	6854
SYN3	8224
SYNGAP1	8831
SYNGR1	9145
SYNGR2	9144
SYNGR2P1	283698
SYNGR3	9143
SYNGR4	23546
SYNJ1	8867
SYNJ2	8871
SYNS1~withdrawn	
SYP	6855
SYPL1	
SYR~withdrawn	
SYT1	6857
SYT2	127833
SYT3	84258
SYT4	6860
SYT5	6861
SYT7	9066
T	6862
T3D~withdrawn	
TAC1	6863
TAC1R~withdrawn	
TAC2~withdrawn	
TAC2R~withdrawn	
TAC3	6866
TACC1	6867
TACC2	10579
TACC3	10460
TACE~withdrawn	
TACR1	6869
TACR2	6865
TACR3	6870
EPCAM	4072
TACSTD2	4070
TADA2A	6871
TAF1A	9015
TAF1B	9014
TAF1C	9013
TAF1	6872
TAF2	6873
TAF4	6874
TAF4B	6875
TAF5	6877
TAF6	6878
TAF7	6879
TAF9	6880
TAF10	6881
TAF11	6882
TAF12	6883
TAF13	6884
TAF15	8148
TAF7L	54457
GTF3BAP1~withdrawn	
GTF3BAP2~withdrawn	
BRF1	2972
GTF3BAP3~withdrawn	
TAGLN	6876
TAGLN2	8407
TAK1~withdrawn	
TAL1	6886
TAL2	6887
TALDO~withdrawn	
TALDO1	6888
TALDO1P1	6889
TAN1~withdrawn	
TANK	10010
ABCB2~withdrawn	
ABCB3~withdrawn	
TAPA1~withdrawn	
TAPBP	6892
TAPVR1	
TARBP1	6894
TARBP2	6895
TARBP2P	6896
TARDBP	23435
TARS	6897
TAT	6898
TAX~withdrawn	
TAX1BP1	8887
TAX1BP2~withdrawn	
TAZ	6901
TBC1D1	23216
TBCA	6902
TBCC	6903
TBCD	6904
TBCE	6905
SERPINA7	6906
TBK1	29110
TBL1X	6907
TBL2	26608
TBL3	10607
TBP	6908
TBPL1	9519
TBR1	10716
TBS~withdrawn	
TBX1	6899
TBX10	347853
TBX15	6913
TBX18	9096
TBX19	9095
TBX2	6909
TBX20	57057
TBX21	30009
TBX22	50945
TBX23P	57160
TBX3	6926
TBX4	9496
TBX5	6910
TBX6	6911
TBX7~withdrawn	
TBXA1R	6914
TBXA2R	
TBXAS1	6916
TCAP	8557
TCD~withdrawn	
TCEA1	6917
TCEA1P1	6918
TCEA2	6919
TCEA3	6920
TCEAL1	9338
TCEB1	6921
TCEB1P1~withdrawn	
TCEB2	6923
TCEB3	6924
HNF1A	6927
TCF11~withdrawn	
TCF12	6938
TCF13~withdrawn	
TCF13L1~withdrawn	
TCF14~withdrawn	
TCF15	6939
ZNF354A	6940
TCF19	6941
HNF1B	6928
TCF20	6942
TCF21	
TCF3	6929
TCF4	6925
TCF6~withdrawn	
TFAMP1	260341
TCF6L2~withdrawn	
TFAMP2	260340
TCF7	6932
TCF7L1	83439
TCF7L2	6934
ZEB1	6935
TCF9~withdrawn	
VPS72	6944
MLX	6945
TCFL5	10732
TCIRG1	10312
TCL1A	8115
TCL1B	9623
TCL4	6946
TCL5~withdrawn	
TCN1	6947
TCN2	6948
TCOF1	6949
TCP1	6950
TCP10	6953
TCP10L	140290
TCP11	6954
TCP1P1	647047
TCP1P2	6952
TCRA~withdrawn	
TCRAV5S1~withdrawn	
TCRB~withdrawn	
TCRBV10O~withdrawn	
TCRBV11O~withdrawn	
TCRBV15O~withdrawn	
TCRBV2O~withdrawn	
TCRBV4O~withdrawn	
TCRBVO@~withdrawn	
TCRD~withdrawn	
TCRG~withdrawn	
TCRGC1~withdrawn	
TCRGC2~withdrawn	
TCRGJ1~withdrawn	
TCRGJ2~withdrawn	
TCRGJP~withdrawn	
TCRGJP1~withdrawn	
TCRGJP2~withdrawn	
TCRGV1~withdrawn	
TCRGV10~withdrawn	
TCRGV11~withdrawn	
TCRGV2~withdrawn	
TCRGV3~withdrawn	
TCRGV4~withdrawn	
TCRGV5~withdrawn	
TCRGV5P~withdrawn	
TCRGV6~withdrawn	
TCRGV7~withdrawn	
TCRGV8~withdrawn	
TCRGV9~withdrawn	
TCRGVB~withdrawn	
TCTA	6988
TCTE1	202500
DYNLT3	6990
TCTE3	6991
TCTE5~withdrawn	
DYNLT1	6993
TDD	6994
SERINC3	10955
TDG	6996
TDGF1	6997
TDGF1P2	22816
TDGF1P3	6998
TDGF1P4	22815
TDGF1P5	22814
TDGF1P6	22813
TDGF1P7	100129080
TDO2	6999
TDO2L1~withdrawn	
TDPX1~withdrawn	
TDPX2	7002
TDRD1	56165
TDRKH	11022
TEAD1	7003
TEAD2	8463
TEAD3	7005
TEAD4	7004
TEAD5~withdrawn	
TEC	7006
TECTA	7007
TECTB	6975
TEF	7008
TMBIM6	7009
TEK	7010
TEKT2	27285
TEP1	7011
TERC	7012
TERF1	7013
TERF2	7014
TERT	
TESK1	7016
TESK2	10420
TEX11	
TEX12	56158
TEX13A	56157
TEX13B	
TEX14	56155
TEX15	56154
TEX4~withdrawn	
TF	7018
TFAM	7019
TFAP2A	7020
TFAP2B	7021
TFAP2C	7022
TFAP4	7023
TFCOUP1~withdrawn	
TFCOUP2~withdrawn	
TFCP2	7024
TFDP1	7027
TFDP1P	391158
TFDP2	7029
TFE3	7030
TFEB	7942
TFEC	22797
TFF1	7031
TFF2	7032
TFF3	7033
TFG	10342
TFP1	100129696
TFPI	7035
TFPI2	7980
TFR2	7036
TFRC	7037
TG	7038
TGFA	7039
TGFB1	7040
TGFB1I1	7041
TGFB2	7042
TGFB3	7043
TGFB4~withdrawn	
TGFBI	7045
TGFBR1	7046
TGFBR2	7048
TGFBR3	7049
TGFBRE~withdrawn	
TGIF1	7050
TGM1	7051
TGM2	7052
TGM3	7053
TGM4	7047
TGM5	9333
TH	7054
THAS	
THBD	7056
THBS1	7057
THBS2	7058
THBS3	7059
THBS4	7060
THC~withdrawn	
THC2	
TCHH	7062
THM	7063
THOP1	7064
THOP2~withdrawn	
THPO	7066
THRA	7067
THRA2~withdrawn	
THRAL~withdrawn	
THRB	7068
THRSP	7069
THY1	7070
TIA1	7072
TIAF1	9220
TIAL1	7073
TIAM1	7074
TIAM2	26230
TIC1~withdrawn	
DNAJA3	9093
TIE1	7075
KLF10	7071
KLF11	8462
TRIM24	8805
TIMELESS	8914
TIMM10	26519
TIMM13A~withdrawn	
TIMM13	26517
TIMM8A	1678
TIMM8B	26521
TIMM9	26520
TIMP1	7076
TIMP2	7077
TIMP3	7078
TIMP4	7079
TINF2	26277
NKX2-1	7080
TITF2~withdrawn	
TJP1	7082
TJP2	9414
TJP3	27134
TK1	7083
TK2	7084
TKC~withdrawn	
TKCR	7085
TKT	7086
TKTL1	8277
TLCN~withdrawn	
TLE1	7088
TLE2	7089
TLE3	7090
TLE4	7091
TLK1	9874
TLK2	11011
TLL1	7092
TLL2	7093
TLN1	7094
SEC62	7095
TLR1	7096
TLR2	7097
TLR3	7098
TLR4	7099
TLR5	7100
TLX~withdrawn	
TM4SF1	4071
TSPAN7	7102
TSPAN8	7103
TM4SF4	7104
TM4SF5	9032
TSPAN6	7105
TSPAN4	
TM6SF1	53346
TM6SF2	53345
GPR137B	7107
TM7SF2	7108
TM9SF1	10548
TM9SF2	9375
TMEFF1	8577
TMEFF2	23671
TRAPPC10	7109
TMEM2	23670
TMF1	7110
TMOD1	7111
TMOD2	29767
TMOD3	29766
TMOD4	29765
TMPO	7112
TMPRSS2	
TMPRSS3	64699
TMPRSS4	56649
TMSB10	9168
TMSB4~withdrawn	
TMSB4X	7114
TMSB4Y	9087
TMSB4XP1	7115
TMSB4XP2	7116
TMSB4XP8	7117
TMSB4XP4	7118
TMSB4XP5	7119
TMSB4XP6	7120
TMSB4XP7	7121
TMVCF~withdrawn	
CLEC3B	7123
TNF	7124
TNFA~withdrawn	
TNFAIP1	7126
TNFAIP2	7127
TNFAIP3	7128
TNFAIP5~withdrawn	
TNFAIP6	7130
TNFAIP7~withdrawn	
TNFB~withdrawn	
TNFC~withdrawn	
TNFR1~withdrawn	
TNFR2~withdrawn	
TNFRSF10A	8797
TNFRSF10B	8795
TNFRSF10C	8794
TNFRSF10D	8793
TNFRSF11A	8792
TNFRSF11B	4982
TNFRSF25	8718
TNFRSF12L~withdrawn	
TNFRSF14	8764
TNFRSF17	608
TNFRSF18	8784
TNFRSF19	55504
TNFRSF1A	7132
TNFRSF1B	7133
TNFRSF4	7293
CD40	958
FAS	355
TNFRSF6B	8771
CD27	939
TNFRSF8	
TNFRSF9	3604
TNFSF10	
TNFSF11	
TNFSF12	8742
TNFSF13	8741
TNFSF13B	10673
TNFSF14	
TNFSF15	9966
TNFSF18	8995
TNFSF3L~withdrawn	
TNFSF4	7292
CD40LG	959
FASLG	356
CD70	970
TNFSF8	944
TNFSF9	8744
TNK1	8711
TNKS	8658
TNM~withdrawn	
TNNC1	7134
TNNC2	7125
TNNI1	7135
TNNI2	7136
TNNI3	7137
TNNT1	7138
TNNT2	7139
TNNT3	7140
TNP1	7141
TNP2	7142
TNR	7143
TNR1	
ZNF384	
TNRC10~withdrawn	
MED12	9968
EP400	57634
TNRC13~withdrawn	
GIGYF2	26058
TNRC17	27321
TNRC18	84629
BHLHE22	27319
TNRC21~withdrawn	
TNRC22~withdrawn	
TNRC3~withdrawn	
CELF3	11189
CNPY3	10695
TNRC6A	27327
TNRC7~withdrawn	
TNRC8~withdrawn	
TOX3	27324
TNS1	7145
TNX~withdrawn	
TNXA	7146
TNXB	7148
TNXB1~withdrawn	
TNXB2~withdrawn	
TOB1	10140
TOB2	10766
TOC	
TOM1	10043
TOM1L1	10040
TOM1L2	146691
TOMM70A	9868
TOP1	7150
TOP1P1	7151
TOP1P2	7152
TOP2A	7153
TOP2B	7155
TOP3~withdrawn	
TOP3A	7156
TOP3B	8940
TOP3BP1	23751
TOR1B	27348
TOR2A	27433
TOR3A	64222
TP53	7157
TP53BP1	7158
TP53BP2	7159
TP53CP~withdrawn	
TP53L~withdrawn	
TP73	7161
TPBG	7162
TPD52	7163
TPD52L1	
TPD52L2	7165
TPH1	7166
TPI1	7167
TPM1	7168
TPM2	7169
TPM3	7170
TPM4	7171
TPMT	7172
TPO	7173
TPP2	7174
TPR	7175
TPS1~withdrawn	
TPSAB1	7177
TPST1	8460
TPST2	8459
TPT1	7178
TPTE	7179
CRISP2	7180
TR2~withdrawn	
TR4~withdrawn	
TRA	6955
HSP90B1	7184
TRAC	28755
TRADD	8717
TRAF1	7185
TRAF2	7186
TRAF3	7187
TRAF4	9618
TRAF5	7188
TRAF6	7189
TRAJ1	28754
TRAJ10	28745
TRAJ11	28744
TRAJ12	28743
TRAJ13	28742
TRAJ14	28741
TRAJ15	28740
TRAJ16	28739
TRAJ17	28738
TRAJ18	28737
TRAJ19	28736
TRAJ2	28753
TRAJ20	28735
TRAJ21	28734
TRAJ22	28733
TRAJ23	28732
TRAJ24	28731
TRAJ25	28730
TRAJ26	28729
TRAJ27	28728
TRAJ28	28727
TRAJ29	28726
TRAJ3	28752
TRAJ30	28725
TRAJ31	28724
TRAJ32	28723
TRAJ33	28722
TRAJ34	28721
TRAJ35	28720
TRAJ36	28719
TRAJ37	28718
TRAJ38	28717
TRAJ39	28716
TRAJ4	28751
TRAJ40	28715
TRAJ41	28714
TRAJ42	28713
TRAJ43	28712
TRAJ44	28711
TRAJ45	28710
TRAJ46	28709
TRAJ47	28708
TRAJ48	28707
TRAJ49	28706
TRAJ5	28750
TRAJ50	28705
TRAJ51	28704
TRAJ52	28703
TRAJ53	28702
TRAJ54	28701
TRAJ55	28700
TRAJ56	28699
TRAJ57	28698
TRAJ58	28697
TRAJ59	28696
TRAJ6	28749
TRAJ60	28695
TRAJ61	28694
